word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
glass,glɑ:s,n. a brittle transparent solid with irregular atomic structure\nn. a container for holding liquids while drinking\nn. the quantity a glass will hold\nn. glassware collectively,"n. 玻璃, 玻璃杯, 透镜\nvt. 装玻璃于, 反射, 反映\nvi. 成玻璃状",,4,1,zk gk ielts,844,820,s:glasses/i:glassing/p:glassed/3:glasses/d:glassed,,
global,'glәubl,s. involving the entire earth; not limited or provincial in scope,"a. 通用的, 全球的, 球形的, 综合的, 普遍的\n[计] 共用",,3,1,cet4 cet6 ky toefl ielts,2410,1110,,,
go,gou,n. a time for working (after which you will be relieved by someone else)\nn. a board game for two players who place counters on a grid; the object is to surround and so capture the opponent's counters\nv. follow a procedure or take a course\nv. move away from a place into another direction,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下\nvt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)\nn. 去, 尝试, 进行",,5,1,zk gk ielts,44,35,i:going/p:went/d:gone/3:goes,,
goal,gәul,n. the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it\nn. game equipment consisting of the place toward which players of a game try to advance a ball or puck in order to score points\nn. a successful attempt at scoring,"n. 目标, 终点, 得分, 球门, 守门员\nvi. 攻门, 射门得分",,4,1,gk cet4 cet6 ky toefl ielts,930,681,s:goals,,
God,^ɔd,n. the supernatural being conceived as the perfect and omnipotent and omniscient originator and ruler of the universe; the object of worship in monotheistic religions\nn. a man of such superior qualities that he seems like a deity to other people,"n. 上帝, 神像, 偶像\nvt. 使神化",,4,1,zk gk cet4 ky,492,2809,s:gods,,
going,'gәuiŋ,n. advancing toward a goal\ns. in full operation,"n. 去, 离去, 工作情况, 地面状况, 行为\na. 进行中的, 流行的, 成功的, 现存的",,5,,,203,10792,0:go/1:i/s:goings/i:going,,
gold,gәuld,n. coins made of gold\nn. a soft yellow malleable ductile (trivalent and univalent) metallic element; occurs mainly as nuggets in rocks and alluvial deposits; does not react with most chemicals but is attacked by chlorine and aqua regia\nn. great wealth\nn. something likened to the metal in brightness or preciousness or superiority etc.,"n. 黄金, 钱财, 金块, 金色, 宝贵\na. 金的, 似金的, 金色的, 金制的",,4,1,zk gk cet4 ky ielts,1278,1256,s:golds/i:golding,,
golden,'gәuldn,s. marked by peace and prosperity\ns. suggestive of gold\ns. presaging or likely to bring good luck,"a. 金的, 含金的, 金色的, 贵重的, 繁盛的\n[法] 金制的, 金色的, 兴隆的",,3,,zk gk cet4 cet6 ky,2240,1821,,,
golf,gɒlf,n. a game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes\nv. play golf,n. 高尔夫球\nvi. 打高尔夫球,,3,,gk cet4 cet6 ky ielts,2501,1801,s:golfs/i:golfing/p:golfed/3:golfs/d:golfed,,
gone,gɒn,s. no longer retained,"a. 离去的, 死去的, 用完的\ngo的过去分词",,4,,,0,0,0:go/1:d/s:gones,,
good,gud,n. benefit\nn. moral excellence or admirableness\nn. that which is pleasing or valuable or useful\na. having desirable or positive qualities especially those suitable for a thing specified,"n. 善行, 好处, 利益\na. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的",,5,1,zk gk ielts,73,110,t:best/r:better,,
goods,guds,n benefit\nn moral excellence or admirableness\nn that which is pleasing or valuable or useful\nn articles of commerce,"n. 货物\n[经] 货物, 商品, 动产",,4,1,gk cet4 cet6 ky ielts,995,0,s:goods/0:goods/1:s,,
got,gɒt,"v come into the possession of something concrete or abstract\nv enter or assume a certain state or condition\nv cause to move; cause to be in a certain position or condition\nv receive a specified treatment (abstract)\nv reach a destination; arrive by movement or progress\nv go or come after and bring or take back\nv go through (mental or physical states or experiences)\nv take vengeance on or get even\nv achieve a point or goal\nv cause to do; cause to act in a specified manner\nv succeed in catching or seizing, especially after a chase\nv come to have or undergo a change of (physical features and attributes)\nv be stricken by an illness, fall victim to an illness\nv communicate with a place or person; establish communication with, as if by telephone\nv give certain properties to something\nv move into a desired direction of discourse\nv grasp with the mind or develop an understanding of\nv attract and fix\nv reach with a blow or hit in a particular spot\nv reach by calculation\nv acquire as a result of some effort or action\nv purchase\nv perceive by hearing\nv suffer from the receipt of\nv receive as a retribution or punishment\nv leave immediately; used usually in the imperative form\nv reach and board\nv irritate\nv evoke an emotional response\nv apprehend and reproduce accurately\nv earn or achieve a base by being walked by the pitcher\nv overcome or destroy\nv be a mystery or bewildering to\nv take the first step or steps in carrying out an action\nv undergo (as of injuries and illnesses)\nv make children",get的过去式和过去分词\n[化] 谷草转氨酶; 谷氨酸草酰乙酸转氨酶,,5,,,45855,0,0:get/1:dp,,
govern,'gʌvәn,"v. direct or strongly influence the behavior of\nv. exercise authority over; as of nations\nv. require to be in a certain grammatical case, voice, or mood","v. 统治, 支配, 管理",,3,1,gk cet4 cet6 ky toefl,3050,3711,d:governed/i:governing/3:governs/p:governed,,
government,'gʌvәnmәnt,n. the organization that is the governing authority of a political unit\nn. the act of governing; exercising authority\nn. (government) the system or form by which a community or other political unit is governed,"n. 政府, 内阁\n[经] 政府, 政治, 政体",,5,1,zk gk cet4 cet6 ky ielts,124,201,s:governments,,
governor,'gʌvәnә,n. the head of a state government\nn. a control that maintains a steady speed in a machine (as by controlling the supply of fuel),"n. (美)州长, (英)总督, 统治者, 管理者, 理事\n[医] 节制器, 调节器",,4,1,cet4 cet6 ky toefl,2204,1811,s:governors,,
grab,græb,n. a mechanical device for gripping an object\nv. make a grasping or snatching motion with the hand\nv. obtain illegally or unscrupulously\nv. take or grasp suddenly,"n. 抓握, 掠夺, 强占, 东方沿岸帆船\nvi. 抓取, 抢去\nvt. 攫取, 捕获, 霸占",,3,1,cet6 ky toefl ielts,2777,1477,p:grabbed/i:grabbing/d:grabbed/3:grabs/s:grabs,,
grade,greid,n. a relative position or degree of value in a graded group\nn. the gradient of a slope or road or other surface\nn. a degree of ablaut\nn. the height of the ground on which something stands,"n. 等级, 年级, 阶段, 成绩, 程度, 坡度, 斜坡\nvt. 分等, 分级, 评分\nvi. 属于某等级, 逐渐变化",,3,1,zk gk ielts,2822,1426,s:grades/d:graded/p:graded/i:grading/3:grades,,
gradual,'grædʒuәl,n. (Roman Catholic Church) an antiphon (usually from the Book of Psalms) immediately after the epistle at Mass\na. proceeding in small stages\na. (of a topographical gradient) not steep or abrupt,"a. 逐渐的, 渐增的\nn. 弥撒升阶圣歌",,3,1,cet4 cet6 ky ielts,5327,6796,,,
graduate,'grædʒueit,n. a measuring instrument for measuring fluid volume; a glass container (cup or cylinder or flask) whose sides are marked with or divided into amounts\nv. receive an academic degree upon completion of one's studies\nv. confer an academic degree upon\ns. of or relating to studies beyond a bachelor's degree,"n. 毕业生, 量杯\na. 已得学位的, 研究生的, 毕业的\nvi. 毕业, 得学位, 逐渐变为\nvt. 准予...毕业, 授予...学位, 分等级, 刻刻度",,3,,gk cet4 cet6 ky toefl,3693,2115,s:graduates/p:graduated/i:graduating/d:graduated/3:graduates,,
grain,grein,n. a relatively small granular particle of a substance\nn. foodstuff prepared from the starchy grains of cereal grasses\nn. the side of leather from which the hair has been removed\nn. a weight unit used for pearls or diamonds: 50 mg or 1/4 carat,"n. 谷粒, 颗粒, 谷类, 纹理, 本质\nv. (使)成谷粒",,3,1,gk cet4 cet6 ky toefl ielts gre,3226,3222,s:grains/d:grained/p:grained/i:graining/3:grains,,
grand,grænd,s. large and impressive in physical size or extent\ns. the most important and magnificent in adornment,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的\n[法] 重大的, 主要的, 伟大的",,4,1,gk cet4 cet6 ky toefl ielts,1851,2237,r:grander/t:grandest/s:grands,,
grant,grænt,n. any monetary aid\nn. the act of providing a subsidy\nn. (law) a transfer of property by deed of conveyance\nn. Scottish painter; cousin of Lytton Strachey and member of the Bloomsbury Group (1885-1978),"n. 授予, 授予物, 允许\nvt. 允许, 承认, 授与\n[计] 授权命令",,4,1,cet4 cet6 ky ielts gre,1395,1907,d:granted/s:grants/p:granted/i:granting/3:grants,,
grass,græs,"n. narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay\nn. German writer of novels and poetry and plays (born 1927)\nv. shoot down, of birds\nv. cover with grass","n. 草, 草原, 牧场\n[医] 草, 禾本",,3,1,zk gk ielts,2003,2014,s:grasses/p:grassed/d:grassed/i:grassing/3:grasses,,
grave,greiv,n. death of a person\nn. a place for the burial of a corpse (especially beneath the ground and marked by a tombstone)\ns. dignified and somber in manner or character and committed to keeping promises\ns. of great gravity or crucial import; requiring serious thought,"n. 墓穴, 坟墓, 终结, 死亡\na. 庄重的, 严肃的, 重大的, 低沉的\nvt. 雕刻",,3,1,cet4 cet6 ky ielts gre,3630,3358,s:graves/t:gravest/r:graver/i:graving/p:graven/3:graves/d:graven,,
great,greit,n. a person who has achieved distinction and honor in some field\ns. relatively large in size or number or extent; larger than others of its kind\ns. of major significance or importance\ns. remarkable or out of the ordinary in degree or magnitude or effect,"a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的\nadv. 顺利地, 得意地\nn. 全部, 大人物, 大师",,5,1,zk gk,129,160,r:greater/t:greatest/s:greats,,
green,gri:n,n. green color or pigment; resembling the color of growing grass\nn. United States labor leader who was president of the American Federation of Labor from 1924 to 1952 and who led the struggle with the Congress of Industrial Organizations (1873-1952)\nn. an environmentalist who belongs to the Green Party\nn. a river that rises in western Wyoming and flows southward through Utah to become a tributary of the Colorado River,"n. 绿色, 绿色颜料\na. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的",,5,1,zk gk ielts gre,985,890,s:greens/r:greener/t:greenest/b:greener/z:greenest/f:greens,,
grey,grei,n. United States writer of western adventure novels (1875-1939)\nn. Queen of England for nine days in 1553; she was quickly replaced by Mary Tudor and beheaded for treason (1537-1554)\nn. Englishman who as Prime Minister implemented social reforms including the abolition of slavery throughout the British Empire (1764-1845)\nn. any organization or party whose uniforms or badges are grey,"n. 灰色\na. 灰色的, 阴沉的\nv. (使)成灰色",,5,1,cet4 cet6 ky,1899,37508,s:greys/i:greying/d:greyed/p:greyed/3:greys,,
grip,grip,n. the friction between a body and the surface on which it moves (as between an automobile tire and the road)\nn. worker who moves the camera around while a film or television show is being made\nn. an intellectual hold or understanding\nv. hold fast or firmly,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制\nvt. 抓紧, 抱住, 吸住, 掌握\nvi. 握牢, 有吸引力",,3,,cet4 cet6 ky toefl ielts,3376,3694,p:gripped/s:grips/i:gripping/d:gripped/3:grips,,
gross,grәus,"n. twelve dozen\nn. the entire amount of income before any deductions are made\nv. earn before taxes, expenses, etc.\na. before any deductions","n. 总数, 总量\na. 总共的, 未打折扣的, 恶劣的, 粗野的\nvt. 总共收入",,3,,cet4 cet6 ky ielts gre,3198,4409,d:grossed/p:grossed/r:grosser/i:grossing/t:grossest/3:grosses,,
ground,graund,"n. a position to be won or defended in battle (or as if in battle)\nn. a relatively homogeneous percept extending back of the figure on which attention is focused\nn. a connection between an electrical device and a large conducting body, such as the earth (which is taken to be at zero voltage)\nn. (art) the surface (as a wall or canvas) prepared to take the paint for a painting","n. 土地, 战场, 场地, 地面, 范围\na. 土地的, 地面上的\nvt. 放在地上, 使搁浅, 打基础, 给...以训练\nvi. 搁浅, 落地, 根据, 基于\na. 磨过的\ngrind的过去式和过去分词",,5,1,zk gk ielts,455,522,s:grounds/d:grounded/p:grounded/0:grind/1:dp/i:grinding/3:grinds,,
group,gru:p,"n. any number of entities (members) considered as a unit\nn. (chemistry) two or more atoms bound together as a single unit and forming part of a molecule\nn. a set that is closed, associative, has an identity element and every element has an inverse\nv. arrange into a group or groups","n. 团体, 组, 团, 群\nv. 聚合, 成群\n[计] 创建组; 组, 用户组",,5,1,zk gk ielts gre,142,163,s:groups/d:grouped/p:grouped/i:grouping/3:groups,,
grow,grәu,"v. become larger, greater, or bigger; expand or gain\nv. increase in size by natural process\nv. cause to grow or develop\nv. cultivate by growing, often involving improvements by means of agricultural techniques","vt. 种植, 使长满\nvi. 生长, 变成, 发展",,5,1,zk gk,524,353,p:grew/d:grown/i:growing/3:grows,,
growth,grәuθ,n. (biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level\nn. a progression from simpler to more complex forms\nn. vegetation that has grown\nn. (pathology) an abnormal proliferation of tissue (as in a tumor),"n. 生长, 栽培, 增长\n[计] 等比级数",,4,1,gk cet4 cet6 ky ielts,770,787,s:growths,,
guarantee,.gærәn'ti:,n. a written assurance that some product or service will be provided or will meet certain specifications\nn. an unconditional commitment that something will happen or that something is true\nn. a collateral agreement to answer for the debt of another in case that person defaults\nv. give surety or assume responsibility,"n. 担保, 抵押品, 保证书\nvt. 保证, 担保",,4,1,gk cet4 cet6 ky toefl ielts gre,2525,2774,d:guaranteed/s:guarantees/3:guarantees/i:guaranteeing/p:guaranteed,,
guard,gɑ:d,n. a person who keeps watch over something or someone\nn. the person who plays that position on a football team\nn. a device designed to prevent injury or accidents\nn. a posture of defence in boxing or fencing,"n. 守卫者, 警戒, 护卫队, 防护装置\nvt. 保卫, 看守, 当心\nvi. 防止, 警惕, 警卫, 看守",,4,1,zk gk cet4 cet6 ky,2247,1284,s:guards/d:guarded/i:guarding/3:guards/p:guarded,,
guerrilla,gә'rilә,n. a member of an irregular armed force that fights a stronger force by sabotage and harassment,n. 游击队,,3,,,4905,5442,s:guerrillas,,
guess,ges,"n. a message expressing an opinion based on incomplete evidence\nn. an estimate based on little or no information\nv. put forward, of a guess, in spite of possible refutation\nv. guess correctly; solve by guessing","n. 猜测, 臆测\nv. 猜测, 臆测",,4,1,zk gk,2218,862,p:guessed/d:guessed/i:guessing/s:guesses/3:guesses,,
guest,gest,n. a visitor to whom hospitality is extended\nn. United States journalist (born in England) noted for his syndicated homey verse (1881-1959)\nn. a customer of a hotel or restaurant etc.,"n. 客人, 来宾, 旅客\n[化] 客体",,4,1,zk gk ielts,1649,1310,s:guests/i:guesting,,
guide,gaid,n. someone who shows the way by leading or advising\nn. a structure or marking that serves to direct the motion or positioning of something\nv. be a guiding or motivating force or drive\nv. use as a guide,"n. 引导者, 导游, 指南, 路标\nvt. 指导, 支配, 管理, 带领, 操纵\nvi. 任向导\n[计] 辅助线",,4,1,gk cet4 cet6 ky ielts,1645,1779,s:guides/d:guided/p:guided/3:guides/i:guiding,,
guilty,'gilti,a. responsible for or chargeable with a reprehensible act\ns. showing a sense of guilt,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的\n[法] 有罪的, 犯罪的, 自觉有罪的",,3,1,gk cet4 cet6 ky gre,2126,2061,,,
guitar,gi'tɑ:,n. a stringed instrument usually having six strings; played by strumming or plucking,n. 吉他,,3,,zk gk cet6 ky ielts,2516,3658,s:guitars,,
gun,gʌn,n. a weapon that discharges a missile at high velocity (especially from a metal tube or barrel)\nn. the discharge of a firearm as signal or as a salute in military ceremonies\nv. shoot with a gun,n. 枪\n[医] 枪,,4,1,zk gk cet4 cet6 ky,1706,840,s:guns/d:gunned/i:gunning/p:gunned/3:guns,,
guy,gai,"n. an informal term for a youth or man\nn. an effigy of Guy Fawkes that is burned on a bonfire on Guy Fawkes Day\nn. a cable, wire, or rope that is used to brace something (especially a tent)\nv. steady or support with a guy wire or cable","n. 家伙, 支索\nvt. 用支索撑住, 取笑, 嘲弄\nvi. 逃跑",,4,1,cet4 ky ielts gre,2409,364,s:guys/i:guying/p:guyed/3:guys/d:guyed,,
habit,'hæbit,n. an established custom\nn. (psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition\nn. a distinctive attire worn by a member of a religious order\nn. the general form or mode of growth (especially of a plant or crystal),"n. 习惯, 嗜好, 习性\nvt. 使穿衣",,3,1,zk gk cet4 cet6 ky ielts,2239,2308,s:habits/i:habiting/p:habited/3:habits/d:habited,,
hadn't,ˈhædnt,,abbr. had not 没有,,4,,,0,0,,,
hair,hєә,n. a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss\nn. filamentous hairlike growth on a plant\nn. any of the cylindrical filaments characteristically growing from the epidermis of a mammal\nn. a filamentous projection or process on an organism,"n. 头发, 毛发, 些微\n[医] 毛, 发",,4,1,zk gk,668,602,s:hairs,,
half,hɑ:f,n. one of two divisions into which some games or performances are divided: the two divisions are separated by an interval\ns. consisting of one of two equivalent parts in value or quantity\ns. partial\na. (of siblings) related through one parent only,"n. 一半, 半场, 不完全\na. 一半的, 不完全的, 部分的, 半场的\nadv. 一半地, 部分地, 在某种程度上地, 几乎",,5,1,zk gk,470,547,s:halves,,
hall,hɒ:l,n. a large room for gatherings or entertainment\nn. English writer whose novel about a lesbian relationship was banned in Britain for many years (1883-1943)\nn. United States child psychologist whose theories of child psychology strongly influenced educational psychology (1844-1924)\nn. United States chemist who developed an economical method of producing aluminum from bauxite (1863-1914),"n. 门厅, 走廊, 会堂",,3,1,zk gk cet4 cet6 ky toefl ielts,800,1839,s:halls/i:halling,,
halt,hɒ:lt,v. cause to stop,"n. 停止, 立定, 休息\nvt. 使停止, 使立定\nvi. 立定, 停止, 蹒跚, 踌躇, 有缺点\n[计] 停止",,3,,cet4 cet6 ky toefl ielts,4352,5267,d:halted/p:halted/3:halts/i:halting/s:halts,,
hand,hænd,n. the (prehensile) extremity of the superior limb\nn. ability\nn. a position given by its location to the side of an object\nn. the cards held in a card game by a given player at any given time,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手\nvt. 交给, 支持, 搀扶",,4,1,zk gk ielts,163,174,s:hands/p:handed/d:handed/i:handing/3:hands,,
handle,hændl,"n. the appendage to an object that is designed to be held in order to use or move it\nv. touch, lift, or hold with the hands\nv. show and train","n. 柄, 把手, 把柄, 柄状物, 手感\nvt. 触摸, 运用, 买卖, 处理, 操作\nvi. 搬运, 易于操纵\nn. 句柄\n[计] 句柄",,4,1,gk cet4 cet6 ky toefl gre,1576,1238,d:handled/i:handling/p:handled/s:handles/3:handles,,
hang,hæŋ,n. the way a garment hangs\nn. a gymnastic exercise performed on the rings or horizontal bar or parallel bars when the gymnast's weight is supported by the arms\nv. be suspended or hanging\nv. cause to be hanging or suspended,"n. 悬挂, 诀窍, 意义\nvt. 悬挂, 附着, 装饰, 垂下, 踌躇, 绞死, 使悬而未决\nvi. 悬着, 垂下, 被绞死, 悬而不决",,4,1,zk gk cet4 cet6 ky toefl ielts,1069,867,i:hanging/p:hung/d:hung/3:hangs,,
happen,'hæpәn,"v. come to pass\nv. happen, occur, or be the case in the course of events or by chance\nv. chance to be or do something, without intention or causation\nv. come into being; become reality","vi. 发生, 发生, 恰巧",,5,1,zk gk cet4 ky,275,216,p:happened/3:happens/d:happened/i:happening,,
happy,'hæpi,a. enjoying or showing or marked by joy or pleasure\ns. well expressed and to the point,"a. 快乐的, 幸福的, 愉快的, 恰当的",,4,1,zk gk,777,747,r:happier/t:happiest,,
harass,'hærәs,v. annoy continually or chronically\nv. exhaust by attacking repeatedly,"vt. 使困扰, 使烦恼, 折磨",,3,,ky toefl ielts gre,9456,7135,d:harassed/i:harassing/p:harassed/3:harasses,,
harbour,'hɑ:bә,"n a sheltered port where ships can take on or discharge cargo\nn a place of refuge and comfort and security\nv secretly shelter (as of fugitives or criminals)\nv keep in one's possession; of animals\nv hold back a thought or feeling about\nv maintain (a theory, thoughts, or feelings)","n. 港, 避难所\nv. 庇护, 藏匿, (使)入港停泊",,3,,gk cet4 cet6 ielts,3526,36866,i:harbouring/s:harbours/p:harboured/3:harbours/d:harboured,,
hard,hɑ:d,a. dispassionate; \na. resisting weight or pressure\ns. very strong or vigorous\na. (of light) transmitted directly from a pointed light source,"a. 坚硬的, 硬的, 难的, 艰苦的, 困难的, 坚固的, 猛烈的, 艰难的, 结实的, 确实的\nadv. 坚硬地, 努力地, 辛苦地, 接近地, 猛烈地, 牢固地",,5,1,zk gk ielts,573,438,r:harder/t:hardest,,
hardly,'hɑ:dli,r. almost not,"adv. 刚刚, 几乎不, 勉强是",,4,1,zk gk cet4 cet6 ky toefl,1135,1741,,,
harm,hɑ:m,v. cause or do harm to,"n. 伤害, 害处\nvt. 伤害, 损害",,3,1,gk cet4 cet6 ky toefl,3189,3651,d:harmed/i:harming/s:harms/3:harms/p:harmed,,
hasn't,ˈhæznt,, =has not,,4,,,0,0,,,
hat,hæt,n. headdress that protects the head from bad weather; has shaped crown and usually a brim\nn. an informal term for a person's role\nv. put on or wear a hat\nv. furnish with a hat,n. 帽子\nvt. 给...戴帽子,,3,1,zk gk ielts,2209,2015,s:hats/p:hatted/i:hatting/3:hats/d:hatted,,
hate,heit,n. the emotion of intense dislike; a feeling of dislike so strong that it demands action\nv. dislike intensely; feel antipathy or aversion towards,"n. 憎恨, 恨, 厌恶\nvt. 憎恨, 憎恶\nvi. 仇恨",,3,1,zk gk cet4 cet6 ky,1839,1526,p:hated/3:hates/i:hating/d:hated,,
have,hæv,"v. have or possess, either in a concrete or an abstract sense\nv. have as a feature\nv. have a personal or business relationship with someone\nv. have left","vt. 有, 怀有, 拿, 进行\naux. 已经",,5,1,zk gk,8,8,i:having/p:had/3:has/d:had,,
haven't,ˈhævnt,, =have not,,4,,,0,0,,,
he,hi:,n. the 5th letter of the Hebrew alphabet,"pron. 他\nn. 男孩, 男人, 雄性动物",,5,1,zk gk,11,15,,,
he'd,,,"他将, 他会, 他已经, 他有",,4,,,0,0,,,
he'll,,,"他将, 他愿意, 他必须, 他要",,3,,,0,0,,,
he's,,,"他是, 他有",,5,,,0,0,,,
head,hed,n. the upper part of the human body or the front part of the body in animals; contains the face and brains\nn. a single domestic animal\nn. a person who is in charge\nn. the front of a military formation or procession,"n. 头, 头脑, 领袖, 脑袋, 最前的部分\nvt. 为首, 朝向, 前进, 用头顶\nvi. 朝特定方向行进, (作物)结穗\na. 头的, 在顶端的, 主要的\n[计] 磁头; 冲头",,5,1,zk gk toefl,209,251,s:heads/i:heading/d:headed/p:headed/3:heads,,
headline,'hedlain,"n. the heading or caption of a newspaper article\nv. publicize widely or highly, as if with a headline\nv. provide (a newspaper page or a story) with a headline","n. 大标题, 新闻摘要\nvt. 为...做标题, 写标题",,3,,gk cet4 cet6 ky,4488,3293,s:headlines/p:headlined/i:headlining/d:headlined/3:headlines,,
headquarters,hed'kwɒ:tәz,n. (usually plural) the office that serves as the administrative center of an enterprise\nn. the military installation from which a commander performs the functions of command\nn. (plural) a military unit consisting of a commander and the headquarters staff,"n. 总部, 司令部, 总部人员\n[经] 本部, 总部, 总署",,3,,cet4 cet6 ky toefl,2817,2867,,,
heal,hi:l,v. get healthy again,"vi. 痊愈\nvt. 使复原, 使和解, 治愈",,3,1,cet4 cet6 ky toefl ielts gre,6363,4371,d:healed/i:healing/p:healed/3:heals/s:heals,,
health,'helθ,n. a healthy state of wellbeing free from disease\nn. the general condition of body and mind,"n. 健康, 卫生, 蓬勃, 健康状态\n[医] 健康",,5,1,zk gk ielts,373,344,,,
healthy,'helθi,a. having or indicating good health in body or mind; free from infirmity or disease\ns. financially secure and functioning well\ns. promoting health; healthful\ns. exercising or showing good judgment,"a. 健康的, 有益健康的, 卫生的\n[医] 健康的",,3,1,zk gk,2199,1468,r:healthier/t:healthiest,,
hear,hiә,v. perceive (sound) via the auditory sense\nv. examine or hear (evidence or a case) by judicial process\nv. receive a communication from someone,"vt. 听到, 倾听, 听说, 审理\nvi. 听见, 听",,5,1,zk gk,238,195,d:heard/p:heard/i:hearing/3:hears,,
hearing,'hiәriŋ,n. (law) a proceeding (usually by a court) where evidence is taken for the purpose of determining an issue of fact and reaching a decision based on that evidence\nn. an opportunity to state your case and be heard\nn. a session (of a committee or grand jury) in which witnesses are called and testimony is taken\nn. the ability to hear; the auditory faculty,"n. 听, 听觉, 听讯\n[医] 听, 听觉",,3,1,gk ky ielts,2480,1711,0:hear/1:i/i:hearing/s:hearings,,
heart,hɑ:t,n. the locus of feelings and intuitions\nn. the hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body\nn. the courage to carry on\nn. an inclination or tendency of a certain kind,"n. 心, 心脏, 中心, 内心, 感情, 精神, 心情, 宝贝儿\nvt. 鼓励",,4,1,zk gk ielts,654,460,s:hearts,,
heat,hi:t,n. a form of energy that is transferred by a difference in temperature\nn. the sensation caused by heat energy\nn. the trait of being intensely emotional\nn. a preliminary race in which the winner advances to a more important race,"n. 热, 热度, 体温, 高潮\nvi. 加热, 激昂, 加剧\nvt. 把...加热, 使激动",,4,1,zk gk cet4 cet6 ky,1699,1009,d:heated/s:heats/i:heating/3:heats/p:heated,,
heaven,'hevn,n. the abode of God and the angels,"n. 天堂, 上帝, 天空",,3,1,zk gk cet4 cet6 ky toefl,2649,2626,s:heavens,,
heavy,'hevi,n. an actor who plays villainous roles\nn. a serious (or tragic) role in a play\na. of comparatively great physical weight or density\na. unusually great in degree or quantity or number,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的\nadv. 沉重地\nn. 重物, 严肃角色",,4,1,zk gk ielts,943,1005,r:heavier/t:heaviest/s:heavies,,
height,hait,n. the vertical dimension of extension; distance from the base of something to the top,"n. 高度, 海拔, 高地, 顶点\n[化] 高度",,3,1,zk gk cet4 cet6 ky toefl ielts,1913,2040,s:heights,,
helicopter,'helikɒptә,n. an aircraft without wings that obtains its lift from the rotation of overhead blades,n. 直升机\nvt. 由直升机运送\nvi. 乘直升机,,3,,gk cet4 cet6 ky ielts,4159,3100,s:helicopters/d:helicoptered/i:helicoptering/p:helicoptered,,
hell,hel,n. any place of pain and turmoil; \nn. a cause of difficulty and suffering\nn. (Christianity) the abode of Satan and the forces of evil; where sinners suffer eternal punishment\nn. (religion) the world of the dead,"n. 地狱, 邪恶势力, 苦境, 阴间, 毁坏, 训斥\nvi. 狂饮, 飞驰",,3,1,cet4 cet6 ky ielts,1748,1456,s:hells,,
hello,hә'lәu,n. an expression of greeting,"interj. 喂, 嘿",,3,1,zk gk,2319,2238,s:hellos,,
help,help,v. give help or assistance; be of service\nv. improve the condition of\nv. be of use\nv. contribute to the furtherance of,"n. 帮忙, 帮助者, 补救办法, 有益的东西\nvt. 帮助, 帮忙, 接济, 治疗, 款待\nvi. 有用, 救命, 招待\n[计] 帮助, 帮助程序; DOS外部命令: DOS命令的电子文件帮助程序",,5,1,zk gk,204,167,d:helped/i:helping/p:helped/3:helps/s:helps,,
her,hә:,"pron. & a. The form of the objective and the possessive case of\n   the personal pronoun she; as, I saw her with her purse out.\npron. pl. Alt. of Here","pron. 她的, 她",,5,1,zk gk,42,42,i:hering,,
here,hiә,n. the present location; this place\ns. being here now\nr. in or at this place; where the speaker or writer is\nr. in this circumstance or respect or on this point or detail,"adv. 在这里, 此时, 这里\nn. 这里",,5,1,zk gk,117,96,,,
hero,'hiәrәu,n. a man distinguished by exceptional courage and nobility and strength\nn. the principal character in a play or movie or novel or poem\nn. Greek mathematician and inventor who devised a way to determine the area of a triangle and who described various mechanical devices (first century)\nn. (classical mythology) a being of great strength and courage celebrated for bold exploits; often the offspring of a mortal and a god,"n. 英雄, 超越常人者, 男主角",,3,1,zk gk cet4 cet6 ky ielts,2477,1912,s:heroes,,
herself,hә:'self,"pron. An emphasized form of the third person feminine\n   pronoun; -- used as a subject with she; as, she herself will bear the\n   blame; also used alone in the predicate, either in the nominative or\n   objective case; as, it is herself; she blames herself.\npron. Her own proper, true, or real character; hence, her\n   right, or sane, mind; as, the woman was deranged, but she is now\n   herself again; she has come to herself.","pron. 她自己, 她亲自",,5,1,zk gk,582,792,,,
